Measures used as objectives: COMP, UNUS, FCNF, 
Class 	COMP	UNUS	FCNF	FITNESS
0	0,094340	0,000000	0,556134	0,000010
0	0,485849	-0,000894	0,224244	0,000000
0	0,245283	0,000000	0,347442	0,000006
1	0,041475	0,000000	0,632338	0,000000
1	0,557604	0,004232	0,240743	0,000000
1	0,239631	0,003362	0,263506	0,000007
2	0,435780	0,000000	0,569467	0,255227
2	1,000000	0,040485	0,336802	0,001117
2	0,022936	0,000000	1,000000	0,000000
3	0,994975	0,078520	0,371313	0,007654
3	0,437186	0,003616	0,483347	0,000009
3	0,658291	0,013282	0,470712	0,007557
