@relation  iris
@attribute sepallength {0,1,2,3}
@attribute sepalwidth {0,1,2,3,4}
@attribute petallength {0,1,2}
@attribute petalwidth {0,1,2}
@attribute class{Iris-setosa,Iris-versicolor,Iris-virginica}
@inputs sepallength,sepalwidth,petallength,petalwidth
@outputs class
@data
1,4,0,0,Iris-setosa
1,2,0,0,Iris-setosa
0,3,0,0,Iris-setosa
0,2,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
0,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
0,2,0,0,Iris-setosa
1,2,0,0,Iris-setosa
1,4,0,0,Iris-setosa
0,4,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,2,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
0,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
0,4,0,0,Iris-setosa
1,2,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
0,3,0,0,Iris-setosa
0,2,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,2,0,0,Iris-setosa
1,3,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,2,0,0,Iris-setosa
0,2,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
0,2,0,0,Iris-setosa
0,3,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
0,2,0,0,Iris-setosa
1,4,0,0,Iris-setosa
0,3,0,0,Iris-setosa
1,4,0,0,Iris-setosa
1,4,0,0,Iris-setosa
3,3,2,2,Iris-versicolor
2,3,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
1,2,1,1,Iris-versicolor
2,2,2,2,Iris-versicolor
1,2,2,1,Iris-versicolor
2,4,2,2,Iris-versicolor
1,2,1,1,Iris-versicolor
2,2,2,1,Iris-versicolor
1,2,1,2,Iris-versicolor
1,0,1,1,Iris-versicolor
1,2,1,2,Iris-versicolor
1,1,1,1,Iris-versicolor
1,2,2,2,Iris-versicolor
1,2,1,1,Iris-versicolor
2,2,1,2,Iris-versicolor
1,2,2,2,Iris-versicolor
1,2,1,1,Iris-versicolor
1,1,2,2,Iris-versicolor
1,2,1,1,Iris-versicolor
1,3,2,2,Iris-versicolor
1,2,1,1,Iris-versicolor
2,2,2,2,Iris-versicolor
1,2,2,1,Iris-versicolor
2,2,1,1,Iris-versicolor
2,2,1,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
1,2,2,2,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,2,2,Iris-versicolor
1,2,2,2,Iris-versicolor
1,4,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,2,2,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
2,4,2,2,Iris-virginica
1,2,2,2,Iris-virginica
3,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
3,2,2,2,Iris-virginica
1,2,2,2,Iris-virginica
3,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
3,4,2,2,Iris-virginica
2,3,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
1,2,2,2,Iris-virginica
1,2,2,2,Iris-virginica
2,3,2,2,Iris-virginica
2,2,2,2,Iris-virginica
3,4,2,2,Iris-virginica
3,2,2,2,Iris-virginica
1,1,2,2,Iris-virginica
2,3,2,2,Iris-virginica
1,2,2,2,Iris-virginica
3,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,4,2,2,Iris-virginica
3,3,2,2,Iris-virginica
1,2,2,2,Iris-virginica
1,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
3,2,2,2,Iris-virginica
3,2,2,2,Iris-virginica
3,4,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
1,2,2,2,Iris-virginica
3,2,2,2,Iris-virginica
2,4,2,2,Iris-virginica
2,2,2,2,Iris-virginica
1,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
1,2,2,2,Iris-virginica
2,3,2,2,Iris-virginica
2,4,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
1,4,2,2,Iris-virginica
1,2,2,2,Iris-virginica
