Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	6,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
001   	000	-	9,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
002   	000	-	8,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
003   	001	-	14,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
004   	001	-	14,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
005   	001	-	15,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
006   	002	-	11,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
007   	002	-	10,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
008   	002	-	10,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
009   	003	-	14,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
010   	003	-	14,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
011   	003	-	12,000000	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
-    	- 	012	11,416667	0,000000	0,000000	0,000000	0,250000	0,000000	0,000000	0,000000	0,000000	0,000000
