#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	3,0000	0,2951	111,0808	0,2048	 ---- 	0,9643	0,2951	1,0000
1	3,0000	0,2869	107,9952	0,1991	 ---- 	0,9375	0,2869	1,0000
2	3,0000	0,2978	107,6977	0,2039	 ---- 	0,9643	0,2951	0,9908
3	2,0000	0,3005	104,4452	0,2031	 ---- 	0,9643	0,2951	0,9818
4	2,0000	0,3115	101,4955	0,2025	 ---- 	0,9732	0,2978	0,9561
5	6,0000	0,1011	57,5832	0,0842	 ---- 	0,6066	0,1011	1,0000
6	5,0000	0,1066	56,8466	0,0861	 ---- 	0,6230	0,1038	0,9744
7	5,0000	0,1038	55,3131	0,0838	 ---- 	0,6066	0,1011	0,9737
8	4,0000	0,1093	55,7355	0,0856	 ---- 	0,6230	0,1038	0,9500
9	3,0000	0,1257	55,6906	0,0883	 ---- 	0,6557	0,1093	0,8696
10	3,0000	0,1940	100,2731	0,1558	 ---- 	0,9861	0,1940	1,0000
11	2,0000	0,1913	98,8608	0,1536	 ---- 	0,9722	0,1913	1,0000
12	2,0000	0,1885	97,4485	0,1514	 ---- 	0,9583	0,1885	1,0000
13	2,0000	0,1831	94,6239	0,1470	 ---- 	0,9306	0,1831	1,0000
14	2,0000	0,1967	96,7244	0,1553	 ---- 	0,9861	0,1940	0,9861
15	4,0000	0,1066	63,8865	0,0896	 ---- 	0,7755	0,1038	0,9744
16	4,0000	0,1667	60,3164	0,0815	 ---- 	0,7755	0,1038	0,6230
17	3,0000	0,1749	62,0029	0,0804	 ---- 	0,7755	0,1038	0,5938
18	3,0000	0,2350	63,1148	0,0806	 ---- 	0,8367	0,1120	0,4767
19	3,0000	0,1421	88,1377	0,1219	 ---- 	1,0000	0,1421	1,0000
20	2,0000	0,1475	83,5322	0,1211	 ---- 	1,0000	0,1421	0,9630
21	2,0000	0,3251	25,8199	0,0631	 ---- 	0,7692	0,1093	0,3361
---	3,0909	0,1950	79,4829	0,1292	0,8743	0,8493	0,9672	0,8932
